Name,Address,City,State,Years_of_Operation,Pylon,Currently,Web,Notes
Gebeke Sales & Service,307 South 3rd Avenue West,Melrose,MN,&lt;--1967-1976--&gt;,,,,
Hepokoski Hardware,,Menahga,MN,&lt;--1946,,,,
O. M. Groven,,Mentor,MN,&lt;--1948,,,,
Ramberg Bros. Implement,,Mentor,MN,&lt;--1948--&gt;,,,,
Henry Young,,Middle River,MN,&lt;--1947,,,,
Walton's Garage / Walton's (Inc.),,Middle River,MN,&lt;--1962-1984--&gt;,,,,
Hornquist Motor & Implement Company,,Milaca,MN,&lt;--1947-1948--&gt;,,,,
Marudas Motor Sales,,Milaca,MN,&lt;--1958--&gt;,,,,
Millam Implement Company,235 2nd Street SW,Milaca,MN,&lt;--1969-1979,,,,
"Rum River Agriculture, Inc.",235 2nd Street SW,Milaca,MN,1979-1980--&gt;,,,,
Anderson Implement Company,,Milan,MN,&lt;--1926--&gt;,,,,
Anderson Lumber & Implement Company,,Milan,MN,&lt;--1940-1948--&gt;,,,,
Anderson Implement Company,,Milan,MN,&lt;--1958--&gt;,,,,
Springer & Pretzer,,Millville,MN,&lt;--1948--&gt;,,,,
Thorman W. Rosholt (Company),,Minneapolis,MN,&lt;--1930-1936--&gt;,,,,
T. W. Rosholt Company,,Minneapolis,MN,&lt;--1939--&gt;,,,,
Rosholt Equipment Company,3138 Snelling Avenue,Minneapolis,MN,&lt;--1954--&gt;,,,,
International Harvester Company,750 North 4th Street,Minneapolis,MN,&lt;--1958--&gt;,,,,
International Harvester Company,2723 (2727) University Avenue SE,Minneapolis,MN,&lt;--1958-1969--&gt;,,,,
International Harvester Company ~ Truck Branch,3000 Broadway Street NE,Minneapolis,MN,&lt;--1973-1980--&gt;,,,,
"North Star International Trucks, Inc.",3000 Broadway Street NE,Minneapolis,MN,&lt;--1984-1990--&gt;,,Astleford Int'l,,
"Hall Equipment, Inc.",2360 Highway 100 South,Minneapolis,MN,&lt;--1967-1969--&gt;,,,,
International Harvester Used Truck Center,720 Hoover Street NE,Minneapolis,MN,&lt;--1980--&gt;,,,,
Phillippi Equipment Company,2360 Highway 100,Minneapolis,MN,,,,,
V. V. Gislason Hardware & Implement (Company),,Minneota,MN,&lt;--1948-1968--&gt;,,,,
Putz Bros. Garage / Putz Bros.,,Minnesota Lake,MN,&lt;--1930-1955--&gt;,,,,
"Morrie's Imports, Inc.",12520 Wayzata Blvd.,Minnetonka,MN,&lt;--1977--&gt;,,,,
Erickson Motor Company,,Monterey (Trimont),MN,&lt;--1958--&gt;,,,,
Campbell Implement Company,,Montevideo,MN,&lt;--1920-1927--&gt;,,,,
Alvig Motor Sales,,Montevideo,MN,&lt;--1948--&gt;,,,,
Flinn's,,Montevideo,MN,&lt;--1958--&gt;,,,,
"Larson Brothers, Inc.",,Montevideo,MN,&lt;--1962-1969--&gt;,,,,
"Dean Rhodes, Inc.",Highway 212 West,Montevideo,MN,&lt;--1968--&gt;,,,,
"Moon International, Inc.",Highway 7 East,Montevideo,MN,&lt;--1978-1984--&gt;,,,,
Pany Hardware Company,,Montgomery,MN,&lt;--1931-1948--&gt;,,,,
Peterson Feed & Implement Company,,Monticello,MN,&lt;--1930-1931--&gt;,,,,
Peterson Implement Company,,Monticello,MN,&lt;--1948--&gt;,J,,,
Hoglund Bus Company,South Highway 25; Highway 25 & I-94; 116 East Oakwood Drive,Monticello,MN,1956-2015--&gt;,,,,
Baker Implement,,Monticello,MN,,,,,
Wright Hardware Company,,Moorhead,MN,&lt;--1930--&gt;,,,,
Anderson-Stadum Pontiac Company,,Moorhead,MN,&lt;--1958--&gt;,,,,
Anderson Pontiac Company (Inc.),Center Avenue,Moorhead,MN,&lt;--1961-1976--&gt;,,,,
"Anderson Pontiac-GMC, Inc.",1313 30th Avenue S,Moorhead,MN,&lt;--1977-1980--&gt;,,,,
Kroeber Equipment Company,I-94 & Highway 75 South,Moorhead,MN,,,,,
Phillippi Equipment Company,,Moorhead,MN,,,,,
Ellefsons Farm Store,,Moose Lake,MN,&lt;--1948--&gt;,,,,
Macs Service & Repair,,Moose Lake,MN,&lt;--1962-1967--&gt;,,,,
Kanabec Hardware Company,,Mora,MN,&lt;--1948,,,,
Loken & Larson,,Mora,MN,&lt;--1948--&gt;,,,,
Tinker & Johnson,,Mora,MN,&lt;--1958--&gt;,,,,
Anderman Motor (Company),755 South Highway 65,Mora,MN,&lt;--1962-1974--&gt;,,,,
Morgan Implement Company,,Morgan,MN,&lt;--1926-1953--&gt;,,,,
Harold & Louie's Standard Service,,Morgan,MN,&lt;--1958-1962--&gt;,,,,
J. L. Hockert,,Morris,MN,&lt;--1922--&gt;,,,,
Hockert & Noonan,,Morris,MN,&lt;--1948-1958--&gt;,,,,
Olson Implement & Supply,Highway 28 West,Morris,MN,&lt;--1966--&gt;,,,,
"Olson Supply, Inc",Highway 28 West,Morris,MN,&lt;--1978-1984--&gt;,,,,
Fuhrman Buick,Highway 9 South,Morris,MN,&lt;--1962-1977--&gt;,,,,
"Fuhrman Motors, Inc.",Highway 9 South,Morris,MN,&lt;--1979-1984--&gt;,,,,
Stimmler Implement,,Morris,MN,,,,,
V. S. Komulainen,,Mountain Iron,MN,&lt;--1939-1946,,,,
Thiessen Implement Company,,Mountain Lake,MN,&lt;--1948-1958--&gt;,,,,
Johnston Chevrolet Company,,Nashwauk,MN,&lt;--1948--&gt;,,,,
Podominick Service,,Nashwauk,MN,&lt;--1958-1962--&gt;,,,,
Raymond Bunting,,Nassau,MN,&lt;--1948,,,,
Larson Hardware Company,,Nerstrand,MN,&lt;--1948--&gt;,,,,
O. F. Bielke,,New Auburn,MN,&lt;--1933--&gt;,,,,
Rivers Garage,,New Auburn,MN,&lt;--1937--&gt;,,,,
Al Rivers Implement Company,,New Auburn,MN,&lt;--1940-1948--&gt;,,,,
Paron Motors,1561 Highway 8,New Brighton,MN,&lt;--1958-1979--&gt;,,,,
Holm Brothers,,New London,MN,&lt;--1948--&gt;,,,,
P. J. Welter,,New Market,MN,&lt;--1914--&gt;,,,,
Mamer & Deutsch,,New Prague,MN,&lt;--1914-1916--&gt;,,,,
Vanasek Hardware,,New Prague,MN,&lt;--1945-1947,,,,
H. W. Implement Company,,New Prague,MN,&lt;--1948--&gt;,,,,
H & W Equipment Company,Highway 13-21 South; 500 4th Avenue Southwest,New Prague,MN,&lt;--1958-1984--&gt;,,,,No longer a CIH dealer.
J. A. Christianson,,New Richland,MN,&lt;--1922--&gt;,,,,
Boie Implement Company,,New Richland,MN,&lt;--1948-1962--&gt;,,,,
"Budach Implement, Inc.",219 NE 3rd Street,New Richland,MN,&lt;--1978-1984--&gt;,,,,No longer a CIH dealer.
Byron Implement Company,,New Richland,MN,,,,,
Robert Fesenmaier (Inc.),11 Minnesota Street,New Ulm,MN,&lt;--1926-1963--&gt;,,,,
Budahn's International Garage (Inc.) / Budahn Garage,1800 North State Street,New Ulm,MN,&lt;--1962-1985--&gt;,,,,
"Brown County Implement, Inc.",Junction Highways 15 & 68 South,New Ulm,MN,&lt;--1978-1984--&gt;,,,,
Piilola Kela Mattson Company,,New York Mills,MN,&lt;--1948--&gt;,,,,
P-K-M & Company,,New York Mills,MN,&lt;--1958--&gt;,,,,
Hi-Way Auto & Implement Company,,New York Mills,MN,&lt;--1962-1973--&gt;,,,,
Newfolden Machine Company,,Newfolden,MN,&lt;--1948--&gt;,,,,
Roxin Implement Company,,Nicollet,MN,&lt;--1948--&gt;,,,,
Anthony Implements,RFD St. Peter,Norseland,MN,&lt;--1936-1949--&gt;,,,,
Collins Implement Company,,North Branch,MN,&lt;--1917--&gt;,,,,
Collins & Swanson,,North Branch,MN,&lt;--1946,,,,
McCann Implement Company,,North Branch,MN,&lt;--1948-1958--&gt;,,,,
"Booher's, Inc.",1717 Howard Drive,North Mankato,MN,&lt;--1976-1980--&gt;,,Arnolds,,
Northfield Implement Company,,Northfield,MN,&lt;--1948-1969--&gt;,,,,
Miller Motor & Implement Company,Highway 3 South,Northfield,MN,&lt;--1973-1980--&gt;,,,,
Anthony Implement Company,,Northome,MN,&lt;--1942--&gt;,,,,
La Brie Implement Company,,Northome,MN,&lt;--1948-1958--&gt;,,,,
Roehning Implement Company,,Northome,MN,&lt;--1962-1964--&gt;,,,,
Northrup Implement Company,,Northrup,MN,&lt;--1948--&gt;,,,,
"Greenberg Implement, Inc. / Greenbergs, Inc.",19745 Nowthen Blvd. NW,Nowthen,MN,&lt;--1978-2009--&gt;,,,,
J. C. Ruthenbeck & Son,,Okabena,MN,&lt;--1946,,,,
Ray Ahrens Implement (Company),,Okabena,MN,&lt;--1948-1970--&gt;,,,,
Kenny Ellis,,Oklee,MN,&lt;--1948--&gt;,,,,
Ferge's Garage,,Olivia,MN,&lt;--1948--&gt;,J,,,
Ferge's,,Olivia,MN,&lt;--1956-1960--&gt;,,,,
Bostrom Garage,,Onamia,MN,&lt;--1948-1958--&gt;,,,,
Bialka Brothers,,Opole,MN,&lt;--1946,,,,
H. M. Vagstad,,Ormsby,MN,&lt;--1921--&gt;,,,,
Ormsby Farmers Grain Company,,Ormsby,MN,&lt;--1948-1964--&gt;,,,,
Lammis,,Orr,MN,,,,,
Ortonville Implement Company,,Ortonville,MN,&lt;--1926--&gt;,,,,
A. K. Evans & Company,,Ortonville,MN,&lt;--1938--&gt;,,,,
Ortonville Equipment Company,,Ortonville,MN,&lt;--1948--&gt;,,,,
Schaffer Implement Company,,Ortonville,MN,&lt;--1958-1964--&gt;,,,,
"Vic Hoffman & Son, Inc.",,Ortonville,MN,&lt;--1967-1969--&gt;,,,,
Davis Implement Company,,Ortonville,MN,,,,,
Brown Bros. Implement (Company),,Osakis,MN,&lt;--1940-1946,,,,
Nelson Implement,,Osakis,MN,&lt;--1948--&gt;,,,,
Shrode Equipment,,Osakis,MN,&lt;--1964-1976--&gt;,,,,
Heinen Mercantile Company,,Osseo,MN,&lt;--1948--&gt;,,,,
Heinen Hardware & Implement Company,,Osseo,MN,&lt;--1958-1962--&gt;,,,,
Hadland & Osterud (Inc.),Main Street,Ostrander,MN,&lt;--1948-1984--&gt;,,,,
Buxton & McClintock,,Owatonna,MN,1902-1911--&gt;,,,,
Virtue & Pound Company,223 North Cedar Avenue,Owatonna,MN,&lt;--1942-1948--&gt;,,,,
Service Garage,,Owatonna,MN,&lt;--1958-1964--&gt;,,,,
Reinhardt Motors,,Owatonna,MN,&lt;--1967-1969--&gt;,,,,
Steele County Implement Company,2010 South Cedar Avenue,Owatonna,MN,&lt;--1970-1984--&gt;,,,,
Wilkins Bros.,,Park Rapids,MN,&lt;--1915--&gt;,,,,
McFarren Implement Company,,Park Rapids,MN,&lt;--1948-1958--&gt;,,,,
McFarren's (Inc.),403 Main Avenue S,Park Rapids,MN,&lt;--1962-1980--&gt;,,,,
C. W. Howe,,Parkers Prairie,MN,&lt;--1948,,,,
Bergquist Implement,,Parkers Prairie,MN,&lt;--1948--&gt;,,,,
Farmers Co-op Association,,Paynesville,MN,&lt;--1948--&gt;,,,,
Paynesville Motor Company,311 Minnie Street,Paynesville,MN,&lt;--1958-1973--&gt;,,,,
Torborg Equipment Company,27542 Highway 23,Paynesville,MN,&lt;--1964-1984--&gt;,,,,No longer a CIH dealer. IH parts from salvage.
Farmers Corporation,,Paynesville,MN,,,,,
Ed. Thurnau,,Pelican Rapids,MN,&lt;--1912-1914--&gt;,,,,
Uhlenkott & Schoener,,Pelican Rapids,MN,&lt;--1925--&gt;,,,,
Hans J. Thorstensen,,Pelican Rapids,MN,&lt;--1932--&gt;,,,,
McDunn Farm Store,,Pelican Rapids,MN,&lt;--1948--&gt;,,,,
Gerald Evenson / Gerald N. Evenson (Inc.),835 1st Street SW; Highway 59 South,Pelican Rapids,MN,&lt;--1964-2014--&gt;,,,,
Co-op Creamery Association,,Pequot Lakes,MN,&lt;--1947,,,,
A. Marckel,,Perham,MN,1902-1912--&gt;,,,,
Mattfeld & Jahn,,Perham,MN,&lt;--1922--&gt;,,,,
Lehmkuhl & Jahn,,Perham,MN,&lt;--1931-1946,,,,
Perham Farm Supply Company / Inc.,157 2nd Avenue SW,Perham,MN,1946-1995--&gt;,J  P,,,
Lee Hardware & Implement Company,,Perley,MN,&lt;--1948-1950--&gt;,,,,
Hoganson & Larson,,Perley,MN,,,,,
Pierz Implement Company,,Pierz,MN,&lt;--1948,,,,
Seelen Bros.,,Pierz,MN,&lt;--1948--&gt;,,,,
Gilbride Motors,,Pierz,MN,&lt;--1962--&gt;,,,,
P. H. Sorg,,Pillager,MN,&lt;--1945,,,,
W. A. Sauser,,Pine City,MN,&lt;--1948--&gt;,,,,
Midway Nash Motors,,Pine City,MN,&lt;--1958--&gt;,,,,
Midway Rambler,,Pine City,MN,&lt;--1962-1964--&gt;,,,,
"Benson AMC Jeep, Inc.",805 6th Street,Pine City,MN,&lt;--1979-1980--&gt;,,,,
Mott Implement Company,,Pine Island,MN,&lt;--1948--&gt;,,,,
Sherwood Houston,,Pine River,MN,&lt;--1948--&gt;,,,,
Kipp Farm Equipment Company,North Hiawatha Avenue & 2nd Street NE,Pipestone,MN,&lt;--1948-1949--&gt;,,,,
Gordon Ahrendt Implement (Company),,Pipestone,MN,&lt;--1958-1969--&gt;,,,,
Jack Farrell Implement Company,Highway 30 East; Highway 75 South,Pipestone,MN,&lt;--1973-1984--&gt;,,Titan Machinery,,
Julius Boehlke,,Plainview,MN,&lt;--1927--&gt;,,,,
"Schultz Implement Company, Inc.",412 West Broadway,Plainview,MN,&lt;--1948-1984--&gt;,P,,,"44.165190, -92.171770"
T. F. Miller,,Plato,MN,&lt;--1913--&gt;,,,,
Plato Garage,,Plato,MN,&lt;--1948--&gt;,,,,
P. E. Schoenauer,,Plummer,MN,&lt;--1948--&gt;,,,,
Le Roy Thompson Implement,,Porter,MN,&lt;--1948--&gt;,,,,
M. C. Eischen & Son,,Preston,MN,&lt;--1944,,,,
Preston Implement Company,,Preston,MN,&lt;--1948--&gt;,,,,
Hall Implement Company,,Princeton,MN,&lt;--1948-1958--&gt;,,,,
Gerdin Sales & Service,,Princeton,MN,&lt;--1964-1969--&gt;,,,,
Prior Lake Farm Store,,Prior Lake,MN,&lt;--1958--&gt;,,,,
Brendegen's Sales & Service,,Proctor,MN,&lt;--1958-1969--&gt;,,,,
Glenn W. Jahns / Glenn Jahns Implement,,Racine,MN,&lt;--1948-1958--&gt;,J,,,
Racine Implement Company,,Racine,MN,&lt;--1962-1975--&gt;,,,,
Mulder & Louters Company,,Raymond,MN,&lt;--1948--&gt;,,,,
John N. Helm,,Red Lake Falls,MN,&lt;--1940--&gt;,,,,
Frank J. Helm,,Red Lake Falls,MN,&lt;--1947,,,,
Helm Implement,,Red Lake Falls,MN,&lt;--1948--&gt;,,,,
Schantzen Motors,,Red Lake Falls,MN,&lt;--1969--&gt;,,,,
"Tomfohr Implement Company, Inc.",231 Bluff Street,Red Wing,MN,&lt;--1948-1964--&gt;,J  P,,,"44.567602, -92.531010"
"Lawrence Motors, Inc.",Highway 61 West; 3154 North Service Drive,Red Wing,MN,&lt;--1967-1990--&gt;,,,,
Sebo Implement Company,,Redwood Falls,MN,&lt;--1926--&gt;,,,,
Gluth Implement Company,826 East Bridge Street,Redwood Falls,MN,&lt;--1948--&gt;,J  P,,,"44.541050, -95.106530"
Hopfenspirger-Schoffman (Implement) (Inc.),826 East Bridge Street,Redwood Falls,MN,&lt;--1960-1980--&gt;,P,,,"44.541050, -95.106530"
"Schoffman's, Inc.",826 East Bridge Street,Redwood Falls,MN,&lt;--1984--&gt;,P,,,"44.541050, -95.106530"
Heins & Company,,Renville,MN,&lt;--1909--&gt;,,,,
Klaus Mulder,,Renville,MN,&lt;--1940--&gt;,,,,
Renville Implement Company,,Renville,MN,&lt;--1947-1948--&gt;,,,,
"Fuller & Fischer, Inc.",,Renville,MN,&lt;--1958-1964--&gt;,,,,
"Fullers, Inc.",405 Park Avenue W,Renville,MN,&lt;--1967-1984--&gt;,,,,
J. N. Kremer & Company,,Rice,MN,&lt;--1922--&gt;,,,,
Fromelt Implement Company,,Rice,MN,&lt;--1948-1980--&gt;,J,,,
Gerhardt Implement Company,,Richfield,MN,&lt;--1945,,,,
Astleford Equipment Company (Inc.),400 West 78th Street,Richfield,MN,&lt;--1948-1985--&gt;,J,,,Heavily modified?
Meyer & Frank,,Richmond,MN,&lt;--1915--&gt;,,,,
Straus Implement Company,,Richmond,MN,&lt;--1948--&gt;,,,,
"Crystal Motors, Inc.",,Robbinsdale,MN,&lt;--1958-1964--&gt;,,,,
H. O. Lester,,Rochester,MN,1926--&gt;,,,,
McCormick-Deering Store,,Rochester,MN,&lt;--1944,,,,
Allen-Lloyd Company,,Rochester,MN,&lt;--1948-1958--&gt;,,,,
Rochester International Sales,,Rochester,MN,&lt;--1962-1964--&gt;,,,,
Selby Truck Sales,1825 7th Street NW,Rochester,MN,&lt;--1967-1974--&gt;,,,,
"Adamson Motors, Inc.",1825 7th Street NW; 4800 Highway 52 North,Rochester,MN,&lt;--1976-1980--&gt;,,,,
Ace Truck & Equipment Company,2729 Whynaught Court SE,Rochester,MN,&lt;--1984-1985--&gt;,,,,
"Dallas Truck Centers, Inc.",2729 Whynaught Court SE,Rochester,MN,&lt;--1990--&gt;,,Interstate,,
Rockford Hardware Company,,Rockford,MN,&lt;--1916--&gt;,,,,
Heinen Mercantile Company,12820 Main Street,Rodgers,MN,&lt;--1948-1984--&gt;,,,,
Rose Creek Farm Service,,Rose Creek,MN,&lt;--1946,,,,
Archie R. Lee,,Roseau,MN,&lt;--1936-1947,,,,
Carl J. Wahlberg,,Roseau,MN,&lt;--1948--&gt;,,,,
Dicks Texaco,,Roseau,MN,&lt;--1967--&gt;,,,,
Roseau Diesel Service,112 2nd Avenue SW,Roseau,MN,&lt;--1973--&gt;,,,,
Rechtzigel Implement & Motor Company,,Rosemount,MN,&lt;--1935-1947,,,,
Wilroy Company (Inc.),,Rosemount,MN,&lt;--1948-1958--&gt;,,,,
Burgett Implement Company,,Rothsay,MN,&lt;--1948-1949--&gt;,,,,
Charley-Holman Equipment Company,,Rothsay,MN,&lt;--1958--&gt;,,,,
C. M. Jorve,,Rothsay,MN,,,,,
Odegaard Feed & Implement Company,,Rush City,MN,&lt;--1948--&gt;,J,,,
Odegaard Buick & Implement Company,,Rush City,MN,&lt;--1958--&gt;,,,,
John Eggen & Son,,Rushford,MN,&lt;--1919--&gt;,,,,
Miller Truck & Implement Company,,Rushford,MN,&lt;--1948-1962--&gt;,,,,
Rushford Implement Company,,Rushford,MN,,,,,
Louis Lietz,,Rushmore,MN,&lt;--1948-1962--&gt;,,,,
Brinkmeyer Auto & Implement Company,,Russell,MN,&lt;--1948--&gt;,,,,
Nelson Implement Company,,Ruthton,MN,&lt;--1948-1958--&gt;,,,,
Ristvedt Bros.,,Sacred Heart,MN,&lt;--1909--&gt;,,,,
P. N. Romness & Sons,,Sacred Heart,MN,&lt;--1925--&gt;,,,,
Romness Brothers,,Sacred Heart,MN,&lt;--1948--&gt;,,,,
Fox Bros. Garage,,Sanborn,MN,&lt;--1958-1964--&gt;,,,,
Hutter Motor Sales,,Sandstone,MN,&lt;--1958--&gt;,,,,
J. J. Smith Implement Company,,Sauk Centre,MN,&lt;--1948--&gt;,,,,
Rondestvedt Farm Equipment,,Sauk Centre,MN,&lt;--1958--&gt;,,,,
Gebeke Sales & Service,Highway 71 North,Sauk Centre,MN,&lt;--1962-1964--&gt;,,,,
Farmers Co-op Elevator,,Sauk Centre,MN,&lt;--1978-1980--&gt;,,,,
Andy's Standard Service,,Sauk Rapids,MN,&lt;--1958-1969--&gt;,,,,
Hall Equipment,600 West Highway 13,Savage,MN,&lt;--1973-1976--&gt;,,,,
International Harvester Company ~ Payline Branch,5633 West Highway 13,Savage,MN,&lt;--1979-1980--&gt;,,,,
International Harvester Used Truck Center,5633 West Highway 13,Savage,MN,&lt;--1980-1983--&gt;,,,,
Sebeka Co-op Association,,Sebeka,MN,&lt;--1948-1960--&gt;,,,,
Wm. C. Sarkela,,Sebeka,MN,&lt;--1958-1969--&gt;,,,,
Wm. F. Marschall & Son,,Shakopee,MN,&lt;--1948--&gt;,,,,
Malme Hardware & Implement Company,,Shelly,MN,&lt;--1948-1952--&gt;,,,,
Beyers Hardware & Implement Company,,Shelly,MN,&lt;--1958--&gt;,,,,
Efteland & Hanson,,Shelly,MN,,,,,
Walter Hansen,,Sherburn,MN,&lt;--1948--&gt;,,,,
Wiese Implement Company,,Slayton,MN,&lt;--1945,M,,,
Hovis Implement Company,,Slayton,MN,1945--&gt;,J,,,
McNeil Implement,,Slayton,MN,&lt;--1958--&gt;,,,,
Slayton International (Inc.),Maple Avenue & Highway 30,Slayton,MN,&lt;--1967-1984--&gt;,,,,
Kelm & Schmidt,,Sleepy Eye,MN,&lt;--1926--&gt;,,,,
Renneke Company,237 West Main Street,Sleepy Eye,MN,&lt;--1948--&gt;,,,,
Evenson Bros.,,Sleepy Grove,MN,&lt;--1948--&gt;,,,,
Priebe Motor Company,,South St. Paul,MN,&lt;--1958-1964--&gt;,,,,
Allan Halvorson,,Spicer,MN,&lt;--1942--&gt;,,,,
"Halvorson & Company (Inc.) / Halvorson Company, Inc.",138 Lake Avenue North,Spicer,MN,&lt;--1948-1990--&gt;,,,,Truck parts only (and appliances).
Valley Truck & Implement Company,,Spring Valley,MN,&lt;--1948--&gt;,,,,
Bradt Implement Company,,Spring Valley,MN,,,,,
Springfield Implement Company,,Springfield,MN,&lt;--1925-1932--&gt;,,,,
Schilling's (Implement Department),,Springfield,MN,&lt;--1948--&gt;,,,,
Schilling Implement Company,,Springfield,MN,&lt;--1958-1970--&gt;,,,,
Cullen's Garage,,Springfield,MN,&lt;--1958--&gt;,,,,
Steenhovens,,Springfield,MN,&lt;--1978-1980--&gt;,,,,
Evenson Brothers,,Spring Grove,MN,&lt;--1958--&gt;,,,,
Grove Sales & Service,,Spring Grove,MN,&lt;--1962-1969--&gt;,,,,
Leino's Grocery,,Squaw Lake,MN,,,,,
F. J. Forestell,,St. Charles,MN,&lt;--1917--&gt;,,,,
"Schultz Implement Company, Inc.",1249 Whitewater Avenue,St. Charles,MN,&lt;--1948-1984--&gt;,P,,,"43.966530, -92.064750"
Patterson Quarries (Inc.),,St. Charles,MN,&lt;--1958-1969--&gt;,,,,
Patterson Truck Sales,,St. Charles,MN,&lt;--1973--&gt;,,,,
E. F. Hager,,St. Clair,MN,&lt;--1948--&gt;,,,,
St. Cloud Implement Company,,St. Cloud,MN,&lt;--1948--&gt;,,,,
Arnold G. Soltis,,St. Cloud,MN,&lt;--1949--&gt;,,,,
Arnold Equipment Company,28 NE 6th Avenue,St. Cloud,MN,&lt;--1965--&gt;,P,,,"45.567760, -94.146280"
"Arnold's Equipment, Inc.",Highway 23 East,St. Cloud,MN,&lt;--1978-1984--&gt;,,,,
International Harvester Company,102-112 6th Avenue North,St. Cloud,MN,&lt;--1922--&gt;,,,,
International Harvester Company,536 East St. Germain Street,St. Cloud,MN,&lt;--1946-1969--&gt;,,,,
A. Gatterberg,,St. Hilaire,MN,&lt;--1947,,,,
Nelson & Berge Implement Company,,St. James,MN,&lt;--1948--&gt;,,,,
Malmgren Brothers Implement Company,,St. James,MN,&lt;--1958--&gt;,,,,
Malmgren Implement,,St. James,MN,&lt;--1978-1984--&gt;,,,,
Hovde Motor Company,,St. James,MN,&lt;--1964-1969--&gt;,,,,
"Holand Motors, Inc.",,St. Louis Park,MN,&lt;--1958-1969--&gt;,,,,
Rothstein Implement Company,,St. Martin,MN,&lt;--1948--&gt;,,,,
"Rothstein Implements, Inc.",160 Maine Street,St. Martin,MN,&lt;--1958-1984--&gt;,,,,
H. W. Dick,,St. Michael,MN,&lt;--1919--&gt;,,,,
Welter Implement Company,,St. Michael,MN,&lt;--1948-1962--&gt;,,,,
"Welters, Inc.",19 Main Street S,St. Michael,MN,&lt;--1967-1984--&gt;,,,,
"Geiger Company, Inc",26-28 East Chicago Avenue,St. Paul,MN,&lt;--1948-1952--&gt;,,,,
"C. P. Casperson, Inc.",,St. Paul,MN,&lt;--1958--&gt;,,,,
"Geiger Company, Inc.",,St. Paul,MN,&lt;--1958--&gt;,,,,
Gladstone Service,,St. Paul,MN,&lt;--1958--&gt;,,,,
Central Warehouse Garage,,St. Paul,MN,&lt;--1958-1962--&gt;,,,,
"Quigley Motor Sales, Inc.",,St. Paul,MN,&lt;--1962-1964--&gt;,,,,
"A & M Industrial Tractor, Inc.",2489 Franklin Avenue,St. Paul,MN,&lt;--1978--&gt;,,,,
"Fox Brothers, Inc.",740 North Concord Street,St. Paul,MN,,,,,
International Harvester Company,2572 University Avenue,St. Paul,MN,&lt;--1946-1961--&gt;,,,,
International Harvester Company,215 University Avenue,St. Paul,MN,&lt;--1958--&gt;,,,,
International Harvester Company ~ Truck Branch,775 Rice Street,St. Paul,MN,&lt;--1962-1980--&gt;,,,,
International Harvester Company,2199 Charles Street,St. Paul,MN,,,,,
Ransom & Lindberg,,St. Peter,MN,&lt;--1922--&gt;,,,,
Anthony Implements,,St. Peter,MN,&lt;--1948-1949--&gt;,,,,
Valley Implement Company,,St. Peter,MN,&lt;--1958--&gt;,,,,
Lager's (Inc.),910 North Minnesota Avenue,St. Peter,MN,&lt;--1967-1980--&gt;,,,,
Interstate Lumber Company,,Stacy,MN,&lt;--1945,,,,
Honstad Implement Company,,Stanley,MN,&lt;--1948--&gt;,,,,
Tyrrell Implement Company / Tyrrell's,119 2nd Avenue NW,Staples,MN,&lt;--1948-1976--&gt;,J  P,,,"46.356040, -94.801520"
Farmer's Store,,Starbuck,MN,&lt;--1913--&gt;,,,,
Ed Chalenburg & Son,,Starbuck,MN,&lt;--1946,,,,
Lindberg Implement,,Starbuck,MN,&lt;--1948-1969--&gt;,,,,
Stephen Implement Company,,Stephen,MN,&lt;--1944-1962--&gt;,,,,
Stephen Oil & Implement Company / Inc.,,Stephen,MN,&lt;--1964-1969--&gt;,,,,
Ed Studer,,Stewart,MN,&lt;--1948--&gt;,,,,
Wacker's,,Stewart,MN,,,,,
A. G. Wilson & Sons,,Stewartville,MN,&lt;--1945,,,,
Stillwater Market Company,,Stillwater,MN,&lt;--1928--&gt;,,,,
Carlson Brothers,,Stillwater,MN,&lt;--1948--&gt;,,,,
Kelly Motors,,Stillwater,MN,&lt;--1958--&gt;,,,,
Storden Implement Company,,Storden,MN,&lt;--1948--&gt;,,,,
Carey's Implement,,Storden,MN,&lt;--1958--&gt;,,,,
Farmers Grain Company,,Storden,MN,&lt;--1978-1984--&gt;,,,,
Sturgeon Lake Garage,,Sturgeon Lake,MN,&lt;--1958-1964--&gt;,,,,
Negaard Machine Company,,Sunburg,MN,&lt;--1948--&gt;,,,,
Swatara Service Station,,Swatara,MN,&lt;--1929--&gt;,,,,
L. P. Szarzynski,,Taunton,MN,&lt;--1945,,,,
Beck Hardware,,Taunton,MN,&lt;--1948-1958--&gt;,,,,
Lundberg Implement Company,,Taylors Falls,MN,&lt;--1948--&gt;,,,,
C. Gustafson & Son (Inc.),,Thief River Falls,MN,&lt;--1923-1965--&gt;,,,,
T & S Implement Company,,Thief River Falls,MN,&lt;--1967-1969--&gt;,,,,
Wennberg's,Oakland Park Road,Thief River Falls,MN,&lt;--1968--&gt;,,,,
Falls Diesel Service,Highway 59 North,Thief River Falls,MN,&lt;--1973-1976--&gt;,,,,
Anderson Equipment,,Thief River Falls,MN,,,,,
Standard Motor Company,,Tower,MN,&lt;--1958--&gt;,,,,
Ruthenbeck Implement Company,,Tracy,MN,&lt;--1948-1958--&gt;,,,,
"Ruthenbeck & Krieg, Inc.",,Tracy,MN,&lt;--1962-1969--&gt;,,,,
"Petersen-Baack, Inc.",Highway 14 & 8th Street,Tracy,MN,&lt;--1975-1980--&gt;,,,,
